Tonopah, 38.067222, 117.23
Dyer, 37.667778, 118.0675
Dyer Airport,  37.606687, 118.002448
Bishop, 37.3635, 118.3951
Silver Peak, 37.755, 117.634722
Goldfield, 37.708611, 117.235556
Oasis, 37.487778, 117.915556                
Mammoth Airport, 37.624167, 118.838889 
Tom's Place, 37.561389, 118.681111 
Lone Pine, 36.606111, 118.062778 
Big Pine, 37.165, 118.289444 
Independence, 36.802778, 118.2 
Deep Springs, 37.371667, 117.985 
Coaldale, 38.0268827,117.8834746
White Mountain Peak, 37.634095, 118.255656 
Transformer-1, 37.494553, 117.86033
Transformer-2,  37.489506, 117.866856
Circle L Ranch,  37.722190, 118.080113
Tonopah Airport,  38.063843, 117.096753
Tonopah Test Range,  37.794465, 116.768945
Military Mountaintop Antenna,  37.310571, 116.804480
Area 51,  37.239147, 115.814660
Yucca Airstrip,  36.927634, 116.008173

